City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
655,Kichmengskiy Gorodok,RU,59.9816,45.7854,6.91,95,100,6.8,overcast clouds
656,Iracoubo,GF,5.4802,-53.2011,75.87,89,34,9.82,scattered clouds
657,Ferrol,ES,43.4832,-8.2369,51.58,86,99,15.75,overcast clouds
658,Pleszew,PL,51.8964,17.7855,33.13,91,18,9.44,few clouds
659,Yagodnoye,RU,62.55,149.6667,-27.69,99,76,5.01,broken clouds
660,Green River,US,41.5286,-109.4662,37.8,90,100,5.77,overcast clouds
661,Tutoia,BR,-2.7619,-42.2744,79.56,81,32,10.8,moderate rain
662,Xingtai,CN,37.0631,114.4942,27.3,24,0,1.34,clear sky
663,Pangai,TO,-19.8,-174.35,78.91,89,75,8.05,light intensity shower rain
664,San Juan,AR,-31.5375,-68.5364,82.09,22,16,10.29,few clouds
665,Sechura,PE,-5.5569,-80.8222,71.56,73,62,14.18,broken clouds
666,Hanzhong,CN,33.0728,107.0303,34.65,54,100,1.16,overcast clouds
667,Maragogi,BR,-9.0122,-35.2225,77.41,84,10,8.12,clear sky
668,Richards Bay,ZA,-28.783,32.0377,71.87,89,75,8.23,broken clouds
669,Udachnyy,RU,66.4167,112.4,2.44,84,88,8.14,overcast clouds
670,Maniitsoq,GL,65.4167,-52.9,18.91,67,100,14.45,overcast clouds
671,Melur,IN,10.05,78.3333,71.92,95,83,6.38,broken clouds
672,Hit,IQ,33.6416,42.8251,51.51,62,0,11.86,clear sky
673,Santa Maria,BR,-29.6842,-53.8069,67.3,100,75,2.3,light rain
674,Adeje,ES,28.1227,-16.726,69.31,58,40,21.85,scattered clouds
675,Ust-Maya,RU,60.4167,134.5333,-27.56,99,100,1.32,overcast clouds
676,San Jose,US,37.3394,-121.895,57.07,92,75,5.99,broken clouds
677,Paramonga,PE,-10.6667,-77.8333,70.29,83,100,8.57,overcast clouds
678,Sisimiut,GL,66.9395,-53.6735,11.52,69,33,12.93,scattered clouds
679,Tandil,AR,-37.3217,-59.1332,61.68,83,73,16.17,light rain
680,Keti Bandar,PK,24.1447,67.4497,67.08,24,0,7.81,clear sky
681,Kampot,KH,10.6167,104.1833,68.05,66,82,4.56,broken clouds
682,Horni Plana,CZ,48.7674,14.0326,32.94,94,6,3.67,clear sky
683,Igarka,RU,67.4667,86.5833,5.52,96,100,7.29,light snow
684,Gori,GE,41.9842,44.1158,35.04,87,100,1.74,overcast clouds
685,Sinjar,IQ,36.3209,41.8754,45.75,56,11,6.4,few clouds
686,Villa Bruzual,VE,9.3328,-69.1208,80.01,57,64,1.81,broken clouds
687,Ambon,ID,-3.6954,128.1814,84.34,74,40,6.91,scattered clouds
